ə	a
ɑɹdvɑɹk	aardvark
əbæk	aback
æbəkəs	abacus
əbæft	abaft
æbəloʊni	abalone
əbændən	abandon
əbeɪs	abase
əbæʃ	abash
əbeɪt	abate
æbəti	abatis
æbətwɑɹ	abattoir
æbəsi	abbacy
æbeɪ	abbe
æbəs	abbess
æbi	abbey
æbət	abbot
əbɹivieɪt	abbreviate
əbɹivieɪʃən	abbreviation
æbdɪkeɪt	abdicate
æbdɪkeɪʃən	abdication
æbdəmən	abdomen
æbdɑmənl̩	abdominal
æbdʌkt	abduct
əbim	abeam
eɪbisidɛɹiən	abecedarian
əbɛd	abed
æbɛɹənt	aberrant
æbɚeɪʃən	aberration
əbɛt	abet
əbeɪəns	abeyance
əbhɔɹ	abhor
əbaɪd	abide
əbɪləti	ability
æbʤɛkt	abject
æbʤɛkʃən	abjection
æbʤɛktli	abjectly
æbʤəɹeɪʃən	abjuration
æbʤʊɹ	abjure
æbleɪt	ablate
æblətɪv	ablative
əbleɪz	ablaze
eɪbl̩	able
əblum	abloom
əbluʃən	ablution
æbnɪgeɪt	abnegate
æbnɪgeɪʃən	abnegation
æbnɔɹml̩	abnormal
æbnɔɹmæləti	abnormality
æbnɔɹml̩i	abnormally
əboɹd	aboard
əboʊd	abode
əbɑlɪʃ	abolish
æbəlɪʃən	abolition
æbəlɪʃənəst	abolitionist
əbɑmənəbl̩	abominable
əbɑməneɪt	abominate
æbɚɪʤənl̩	aboriginal
æbɚɪʤəni	aborigine
əbɔɹnɪŋ	aborning
əbɔɹʃən	abortion
əbaʊnd	abound
əbaʊt	about
əbʌv	above
æbɹəkədæbɹə	abracadabra
əbɹeɪd	abrade
əbɹeɪsɪv	abrasive
əbɹɛst	abreast
əbɹɪʤ	abridge
əbɹɔd	abroad
æbɹəgeɪt	abrogate
æbɹəgeɪʃən	abrogation
əbɹʌpt	abrupt
æbsɛs	abscess
æbskɑnd	abscond
æbsəns	absence
æbsənt	absent
æbsənti	absentee
æbsəntmaɪndəd	absentminded
æbsɪnθ	absinthe
æbsəlut	absolute
æbsəlutli	absolutely
æbsəluʃən	absolution
æbsəlutɪzm̩	absolutism
əbzɑlv	absolve
əbsɔɹb	absorb
əbsteɪn	abstain
æbstimiəs	abstemious
æbstənəns	abstinence
æbstɹækt	abstract
æbstɹækʃən	abstraction
æbstɹækts	abstracts
əbstɹus	abstruse
əbsɝd	absurd
əbʌndənt	abundant
əbjuz	abuse
əbʌt	abut
əbʌtl̩z	abuttals
əbɪzm̩	abysm
əbɪzml̩	abysmal
əbɪs	abyss
əkeɪʃə	acacia
ækədim	academe
ækədɛmɪk	academic
ækədəmɪʃən	academician
ækədɛməsɪzm̩	academicism
əkædəmi	academy
əkænθəs	acanthus
æksid	accede
ɑʧɛləɹɑndoʊ	accelerando
æksɛlɚeɪt	accelerate
æksɛnt	accent
æksɛnʧul̩	accentual
æksɛnʧueɪt	accentuate
æksɛpt	accept
æksɛptəns	acceptance
æksɛpteɪʃən	acceptation
æksɛs	access
æksɛsəbl̩	accessible
ɑksɛʃən	accession
æksɛsɚi	accessory
æksədəns	accidence
æksədənt	accident
æksədɛntl̩	accidental
əkleɪm	acclaim
ækləmeɪʃən	acclamation
ækləmeɪt	acclimate
əklaɪmətaɪz	acclimatize
